DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
10/23/2012 15:42,3.00,264,3.80,21.5,1020.1,,
10/23/2012 15:48,4.00,262,5.40,21.7,1020.2,,
10/23/2012 15:54,3.40,286,4.20,21.4,1020.2,,
10/23/2012 16:00,3.60,263,5.20,21.9,1020.2,,
10/23/2012 16:06,2.60,263,4.00,21.9,1020.1,,
10/23/2012 16:12,2.80,266,3.80,22.1,1020.1,,
10/23/2012 16:18,2.90,235,4.00,22.3,1020.1,,
10/23/2012 16:24,1.90,250,3.20,22.5,1020.0,,
10/23/2012 16:30,2.70,261,3.50,22.8,1019.9,,
10/23/2012 16:36,2.20,248,3.50,22.8,1019.8,,
10/23/2012 16:42,2.20,248,3.50,23.3,1019.7,,
10/23/2012 16:48,2.30,209,3.70,23.0,1019.5,,
10/23/2012 16:54,2.40,236,3.80,23.2,1019.3,,
10/23/2012 17:00,3.50,246,5.30,23.1,1019.2,,
10/23/2012 17:06,2.30,241,3.30,23.5,1019.0,,
10/23/2012 17:12,2.90,243,4.20,23.5,1018.8,,
10/23/2012 17:18,3.00,218,4.20,23.7,1018.7,,
10/23/2012 17:24,2.20,208,3.40,23.6,1018.6,,
10/23/2012 17:30,2.10,240,4.20,24.0,1018.6,,
10/23/2012 17:36,2.40,294,3.90,23.7,1018.7,,
10/23/2012 17:42,2.50,26,3.10,20.8,1018.6,,
10/23/2012 17:48,1.20,73,1.60,21.0,1018.6,,
10/23/2012 17:54,2.90,45,3.30,20.9,1018.6,,
10/23/2012 18:00,2.40,49,2.90,20.4,1018.5,,
10/23/2012 18:06,3.10,47,3.30,21.1,1018.5,,
10/23/2012 18:12,3.30,57,3.60,21.0,1018.4,,
10/23/2012 18:18,2.20,67,2.50,21.4,1018.3,,
10/23/2012 18:24,0.90,73,1.20,22.0,1018.2,,
10/23/2012 18:30,3.70,48,4.20,20.4,1018.2,,
10/23/2012 18:36,4.20,53,4.80,20.9,1018.1,,
10/23/2012 18:42,4.40,59,4.90,20.5,1018.1,,
10/23/2012 18:48,4.50,60,5.00,21.1,1018.1,,
10/23/2012 18:54,3.80,56,4.40,20.8,1018.1,,
10/23/2012 19:00,3.00,82,3.70,21.5,1018.0,,
10/23/2012 19:06,2.00,69,2.20,22.3,1017.9,,
10/23/2012 19:12,2.60,45,3.30,21.5,1017.8,,
10/23/2012 19:18,3.00,49,3.50,21.0,1017.8,,
10/23/2012 19:24,3.00,54,3.40,20.9,1018.0,,
10/23/2012 19:30,3.30,57,3.70,20.5,1018.0,,
10/23/2012 19:36,3.20,63,3.60,21.1,1017.8,,
10/23/2012 19:42,2.80,68,3.30,21.8,1017.7,,
10/23/2012 19:48,2.70,44,3.30,21.5,1017.7,,
10/23/2012 19:54,3.50,52,3.70,20.4,1017.8,,
10/23/2012 20:00,2.70,52,3.10,20.0,1017.8,,
10/23/2012 20:06,2.00,59,2.30,20.3,1017.7,,
10/23/2012 20:12,1.10,60,1.10,21.3,1017.7,,
10/23/2012 20:18,0.80,46,1.00,21.5,1017.7,,
10/23/2012 20:24,0.50,319,0.70,22.2,1017.7,,
10/23/2012 20:30,0.80,311,1.20,22.5,1017.7,,
10/23/2012 20:36,1.50,268,2.00,23.0,1017.7,,
10/23/2012 20:42,3.20,239,5.20,23.8,1017.7,,
10/23/2012 20:48,2.50,228,3.60,24.3,1017.7,,
10/23/2012 20:54,2.10,227,3.80,24.1,1017.7,,
10/23/2012 21:00,2.60,239,3.70,23.9,1017.8,,
10/23/2012 21:06,2.90,236,4.90,24.1,1017.7,,
10/23/2012 21:12,2.70,226,4.60,24.3,1017.7,,
10/23/2012 21:18,2.90,236,4.20,24.3,1017.8,,
10/23/2012 21:24,3.50,234,4.50,24.3,1017.9,,
10/23/2012 21:30,2.80,232,4.00,24.3,1017.9,,
10/23/2012 21:36,2.90,225,4.20,24.1,1017.9,,
10/23/2012 21:42,2.50,222,4.10,23.9,1017.8,,
10/23/2012 21:48,2.10,230,2.60,23.7,1017.9,,
10/23/2012 21:54,1.90,226,2.70,23.5,1017.9,,
10/23/2012 22:00,2.80,227,4.00,23.3,1018.0,,
10/23/2012 22:06,1.90,219,3.30,23.1,1018.0,,
10/23/2012 22:12,1.80,224,2.70,23.0,1018.0,,
10/23/2012 22:18,2.00,230,3.10,22.7,1018.2,,
10/23/2012 22:24,2.60,232,3.70,22.6,1018.3,,
10/23/2012 22:30,2.30,236,2.70,22.3,1018.3,,
10/23/2012 22:36,1.90,229,2.30,22.1,1018.4,,
10/23/2012 22:42,1.30,222,2.20,22.0,1018.4,,
10/23/2012 22:48,1.80,211,3.00,22.0,1018.4,,
10/23/2012 22:54,2.00,210,2.60,21.9,1018.4,,
10/23/2012 23:00,2.20,209,2.90,21.6,1018.4,,
10/23/2012 23:06,2.80,195,3.80,21.5,1018.5,,
10/23/2012 23:12,2.20,196,3.20,21.3,1018.5,,
10/23/2012 23:18,2.10,195,3.30,21.1,1018.5,,
10/23/2012 23:24,2.40,195,3.50,21.0,1018.6,,
10/23/2012 23:30,1.90,205,3.60,20.9,1018.7,,
10/23/2012 23:36,2.30,217,4.40,20.6,1018.7,,
10/23/2012 23:42,2.10,212,3.50,20.3,1018.6,,
10/23/2012 23:48,2.10,206,3.20,20.1,1018.6,,
10/23/2012 23:54,2.10,208,3.30,19.9,1018.6,,
10/24/2012 00:00,2.10,210,3.70,19.7,1018.6,,
10/24/2012 00:06,2.90,212,4.20,19.5,1018.6,,
10/24/2012 00:12,2.40,205,4.20,19.5,1018.6,,
10/24/2012 00:18,2.20,210,4.00,19.3,1018.5,,
10/24/2012 00:24,2.60,213,3.80,19.2,1018.6,,
10/24/2012 00:30,2.90,214,4.10,19.1,1018.6,,
10/24/2012 00:36,2.90,215,4.50,19.1,1018.6,,
10/24/2012 00:42,3.10,210,4.90,19.1,1018.5,,
10/24/2012 00:48,3.70,211,5.80,19.0,1018.5,,
10/24/2012 00:54,4.00,215,6.60,19.1,1018.5,,
10/24/2012 01:00,3.00,217,4.30,19.1,1018.5,,
10/24/2012 01:06,3.50,213,5.70,19.0,1018.6,,
10/24/2012 01:12,3.40,217,5.80,19.0,1018.6,,
10/24/2012 01:18,4.00,215,6.30,19.0,1018.6,,
10/24/2012 01:24,3.10,217,4.40,18.9,1018.6,,
10/24/2012 01:30,4.00,217,6.00,18.8,1018.6,,
10/24/2012 01:36,3.90,216,6.20,18.8,1018.6,,
10/24/2012 01:42,3.60,217,5.60,18.7,1018.7,,
10/24/2012 01:48,3.50,215,6.30,18.6,1018.7,,
10/24/2012 01:54,3.10,216,5.50,18.6,1018.7,,
10/24/2012 02:00,3.10,218,5.30,18.5,1018.6,,
10/24/2012 02:06,3.30,216,5.10,18.4,1018.7,,
10/24/2012 02:12,3.10,215,5.50,18.4,1018.7,,
10/24/2012 02:18,2.90,213,4.30,18.4,1018.6,,
10/24/2012 02:24,3.00,218,4.50,18.3,1018.6,,
10/24/2012 02:30,2.20,220,3.30,18.1,1018.6,,
10/24/2012 02:36,2.90,211,3.90,18.0,1018.6,,
10/24/2012 02:42,3.10,217,6.10,17.9,1018.6,,
10/24/2012 02:48,3.20,220,4.30,17.9,1018.6,,
10/24/2012 02:54,3.10,220,5.10,17.9,1018.7,,
10/24/2012 03:00,3.60,217,5.40,17.8,1018.6,,
10/24/2012 03:06,4.20,212,5.80,17.8,1018.6,,
10/24/2012 03:12,4.20,215,6.20,17.8,1018.5,,
10/24/2012 03:18,3.70,217,5.70,17.7,1018.5,,
10/24/2012 03:24,3.60,217,5.70,17.7,1018.6,,
10/24/2012 03:30,3.00,222,4.30,17.6,1018.7,,
10/24/2012 03:36,3.00,223,4.80,17.6,1018.8,,
10/24/2012 03:42,3.30,220,5.00,17.5,1018.7,,
